name_lower	name	canonical	known_chain	count
ремонт авто	Ремонт Авто			9
poorman mine	Poorman Mine			9
пушкари	Пушкари			9
цыпочка	Цыпочка			9
京城銀行	京城銀行			9
depot de boisson	Depot de boisson			9
dentistes	Dentistes			9
austin hall	Austin Hall			9
villaggio - bungalow val molini	villaggio - bungalow val Molini			9
prisciliano sanchez	Prisciliano Sanchez			9
tom	Tom			9
promised land church	Promised Land Church			9
kiboko	Kiboko			9
la chamade	La Chamade			9
technomarket	Technomarket			9
golf hotel	Golf Hotel			9
elizabeth chapel	Elizabeth Chapel			9
autohof	Autohof			9
東京トヨタ	東京トヨタ			9
pozzo	Pozzo			9
ministère de la justice	Ministère de la Justice			9
haupt	Haupt			9
euro bike	Euro Bike			9
ethias	Ethias			9
wetlands	Wetlands			9
demolished	demolished			9
chez alain	Chez Alain			9
dziupla	Dziupla			9
alfandega	Alfandega			9
customs office	Customs Office			9
llaollao	Llaollao			9
lietoti apģērbi	Lietoti apģērbi			9
shaorma	Shaorma			9
pizza hut/wing street	Pizza Hut/Wing Street			9
קפה קפה	קפה קפה			9
pershing elementary school	Pershing Elementary School			9
homme	Homme			9
безводное	Безводное			9
gamla kyrkogården	Gamla kyrkogården			9
осинки	Осинки			9
старица	Старица			9
monastère sainte-claire	Monastère Sainte-Claire			9
боровое	Боровое			9
gp getränkemarkt	GP Getränkemarkt			9
chicken shack	Chicken Shack			9
школа №148	Школа №148			9
bollwerk	Bollwerk			9
gerard darel	Gerard Darel			9
pizza coloseum	Pizza Coloseum			9
superga	Superga			9
airone	Airone			9
marshall high school	Marshall High School			9
大丸	大丸			9
rouge - premier cru - les talmettes	Rouge - Premier Cru - Les Talmettes			9
virág-ajándék	Virág-ajándék			9
rosa mexicano	Rosa Mexicano			9
mundo	Mundo			9
staatsarchiv	Staatsarchiv			9
chan's	Chan's			9
refan	Refan			9
realschule plus	Realschule Plus			9
exact!	Exact!			9
community store	Community Store			9
balti king	Balti King			9
national housing wandegeya flats	National Housing Wandegeya Flats			9
golden ball	Golden Ball			9
romos tanya	Romos tanya			9
el chaparral	El Chaparral			9
camera	Camera			9
